""	"symbol"	"logFC"	"CI.L"	"CI.R"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"de"
"TC1800001119.mm.1"	"Gpr17"	0.568641244571227	0.225216688159186	0.912065800983267	3.39565613614712	3.96295576109764	0.00611258039515773	0.015515980986293	-2.68846839450299	"up"
"TC0400002949.mm.1"	"Psip1"	-0.516221145777839	-0.827995258119429	-0.20444703343625	3.11925952961222	-3.96285290777614	0.00611335214232854	0.0155169775716037	-2.68860518948941	"down"
"TC0400003733.mm.1"	"Grrp1"	0.575319626088831	0.227808210816835	0.922831041360828	4.04730025601646	3.96234537641861	0.00611716191191318	0.0155247190161096	-2.68928022887702	"up"
"TC0500000317.mm.1"	"Nrbp1"	-0.739038349242757	-1.18548102739358	-0.292595671091933	3.88330878325074	-3.96199099101236	0.00611982364537513	0.0155271370289481	-2.68975159933369	"down"
"TC0700001630.mm.1"	"Adm"	0.808445292839834	0.320047528118628	1.29684305756104	2.46688169700019	3.961769303513	0.00612148935378598	0.015529917657869	-2.69004647660486	"up"
"TC0Y00000127.mm.1"	"Gm21787"	0.89153325380216	0.352916629938691	1.43014987766563	1.53384763619211	3.96159438131255	0.00612280403085719	0.0155312738023914	-2.69027915409158	"up"
"TC0200003557.mm.1"	"Gm13615"	0.508451927512083	0.201268988328565	0.815634866695601	2.61635783436801	3.96154889160758	0.00612314597246993	0.0155312738023914	-2.69033966417359	"up"
"TC1400002028.mm.1"	"Snord8"	-0.872816866357059	-1.40013241759456	-0.345501315119561	3.0305170139761	-3.96154655621938	0.00612316352791936	0.0155312738023914	-2.69034277069842	"down"
"TC0700002889.mm.1"	"Gm9271"	0.54688203023044	0.216451439016574	0.877312621444305	2.48874243729501	3.96118950256584	0.00612584820354704	0.0155366376183197	-2.69081773141301	"up"
"TC0900002223.mm.1"	"Gm22805"	-0.746465277340586	-1.19761033502539	-0.295320219655785	1.78345587736556	-3.96009514530299	0.00613408471762351	0.0155560799356405	-2.69227358431791	"down"
"TC1400002668.mm.1"	"Gm6219"	0.783157125073985	0.309816456010979	1.25649779413699	3.67382907813327	3.9599280649876	0.00613534329460178	0.0155578241865253	-2.69249587095092	"up"
"TC0900001864.mm.1"	"S1pr5"	0.732630005829374	0.289735347397645	1.1755246642611	3.64379131080883	3.95910001364901	0.00614158500854651	0.0155685824299421	-2.69359758462959	"up"
"TC0600002995.mm.1"	"Gm23908"	-0.789241534795218	-1.26646227760895	-0.312020791981484	2.89775036459621	-3.95824647471801	0.00614802616020449	0.0155812876846763	-2.69473331274245	"down"
"TC0400000316.mm.1"	"Gm12364; RP23-267B2.1"	0.632698763966931	0.250104212743691	1.01529331519017	1.86740965052711	3.95795105170026	0.00615025727426223	0.0155862175189034	-2.69512643026195	"up"
"TC0200004431.mm.1"	"LOC100862328"	0.662187654267285	0.26163900142671	1.06273630710786	3.08545091108937	3.95674459463265	0.0061593780182686	0.0156020785877931	-2.69673198554041	"up"
"TC0800001125.mm.1"	"Adgrg5"	0.555937736642308	0.219652119048425	0.89222335423619	2.36156713505448	3.95667222738609	0.00615992558346975	0.0156023076956678	-2.69682829867356	"up"
"TC1800000188.mm.1"	"Zfp397"	-0.780845236081256	-1.25332539358033	-0.308365078582185	3.05175023487386	-3.95542909918895	0.00616934005623937	0.0156203422964789	-2.69848288833764	"down"
"TC0700000201.mm.1"	"Obox4-ps26"	0.743507735339072	0.293580158866553	1.19343531181159	2.53994360650488	3.95507836122991	0.00617199913262456	0.0156231593943116	-2.6989497568948	"up"
"TC1400002034.mm.1"	"Sall2"	0.516703543417019	0.203990772031569	0.829416314802468	2.50616510325833	3.95464983576789	0.00617524965758868	0.0156277591492405	-2.69952019273162	"up"
"TC0400001835.mm.1"	"Gm13078"	0.538133165708513	0.212432469342403	0.863833862074623	1.46797692059758	3.95442447448098	0.00617695986271076	0.0156313615242695	-2.69982019521528	"up"
"TC0700002344.mm.1"	"Vmn2r54"	0.569323065112002	0.224717556307356	0.913928573916647	2.48315319248058	3.95411027176305	0.00617934513125287	0.0156366717952522	-2.70023847622949	"up"
"TC0300002748.mm.1"	"Gm12517"	-0.845158069151059	-1.35676305877584	-0.333553079526282	4.2974123936332	-3.9538062572879	0.00618165402081833	0.0156410623017355	-2.7006432077262	"down"
"TC0400002288.mm.1"	"Gm11871"	0.695373768385564	0.274388111500406	1.11635942527072	1.58248317849518	3.95333136246034	0.00618526259052041	0.0156487401893363	-2.7012754572048	"up"
"TC1600000516.mm.1"	"Gm15845; RP24-83D14.2"	0.515665891027063	0.203442362266521	0.827889419787604	1.45222443775871	3.95289238849115	0.00618860027153687	0.0156557313658435	-2.70185991247117	"up"
"TC0500000107.mm.1"	"Gm21847"	0.517948345117011	0.204325626044823	0.831571064189198	2.50628601809566	3.9526753705099	0.00619025107148848	0.0156591808311426	-2.70214886309506	"up"
"TC0300002916.mm.1"	"Ap1ar"	-0.867416301425228	-1.39266549540717	-0.342167107443284	4.15457363806226	-3.95252293423319	0.00619141090479408	0.0156609056783926	-2.70235182985891	"down"
"TC1600000911.mm.1"	"1700066C05Rik"	-0.729742723651729	-1.17171015972917	-0.287775287574286	5.13705356265183	-3.95177050028339	0.00619713941157904	0.015671166989745	-2.70335373413123	"down"
"TC0800002824.mm.1"	"Atp6v0d1"	-0.821776833659888	-1.31948704648779	-0.324066620831988	4.29416378844415	-3.95175084919288	0.00619728909940422	0.015671166989745	-2.70337990165533	"down"
"TC1700002621.mm.1"	"Gm19689"	0.577238330722582	0.227587741925708	0.926888919519456	1.81168461449676	3.95123728944673	0.00620120243811353	0.0156774265970097	-2.70406378097714	"up"
"TC0700000240.mm.1"	"Dact3"	0.518778562618993	0.204516764969039	0.833040360268948	5.15088657992378	3.95096010747321	0.00620331570198612	0.0156804952065892	-2.70443290477449	"up"
"TC0600002448.mm.1"	"Igkv8-34"	-0.638913305599688	-1.02598435069902	-0.251842260500356	2.80664124749972	-3.95060365388918	0.00620603450584734	0.0156845509991545	-2.70490761099603	"down"
"TC0X00002503.mm.1"	"Gm8722"	0.61636328337987	0.24290715108414	0.9898194156756	3.21082026082401	3.95011171657178	0.00620978884850446	0.0156918569177848	-2.70556277740342	"up"
"TC1000001671.mm.1"	"Gm23023"	0.558715809684467	0.220122298079639	0.897309321289295	1.4872941093728	3.94934016967769	0.00621568213684007	0.0157030079726011	-2.70659040044881	"up"
"TC0400000210.mm.1"	"Gm11899; RP24-70H3.1"	0.609948771277294	0.240303973446336	0.979593569108251	1.98017453469485	3.94930773472817	0.0062159300187247	0.0157030079726011	-2.70663360242385	"up"
"TC1400002131.mm.1"	"Gm4479"	-1.72618346062048	-2.77239831579555	-0.679968605445413	4.40427961876003	-3.94891951670698	0.00621889779294529	0.0157083214847845	-2.7071507040909	"down"
