""	"symbol"	"logFC"	"CI.L"	"CI.R"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"de"
"ILMN_1783333"	"CMC2"	1.10783867590476	0.801846869330003	1.41383048247951	8.80052523816564	7.15071020274206	3.00936075818653e-11	3.11468838472306e-08	15.1978579971621	"up"
"ILMN_2193980"	"ABCB6"	0.764983154428568	0.553267653475035	0.976698655382101	7.62503330546626	7.13644080683578	3.25516822621421e-11	3.23433514956644e-08	15.1230836500399	"up"
"ILMN_1655950"	"ZHX1"	0.29776904685714	0.214903643360315	0.380634450353965	7.10963075437423	7.0972279467291	4.03748920822089e-11	3.85735507431565e-08	14.9179830649308	"no_sig"
"ILMN_1726624"	"YPEL4"	1.04179282409523	0.751011336931984	1.33257431125849	7.3965412707362	7.07615049608558	4.53196808898025e-11	4.16941064186183e-08	14.8079719701535	"up"
"ILMN_2268921"	"GOLGA7"	0.410964943238095	0.295995857295374	0.525934029180815	7.10731867337423	7.06002356589075	4.95026845399887e-11	4.39159529990472e-08	14.723910444373	"no_sig"
"ILMN_2320391"	"SLC45A2"	0.243519601428568	0.174614411657926	0.31242479119921	7.08815424573006	6.98014498974344	7.65440914629927e-11	6.20134814326413e-08	14.3089778281733	"no_sig"
"ILMN_1692684"	"SMARCD2"	-0.614588714952382	-0.788540381889365	-0.440637048015399	7.94056105757055	-6.97812009189796	7.73920259425072e-11	6.20134814326413e-08	14.2984907104924	"down"
"ILMN_1809259"	"PLAAT2"	0.353333586666666	0.253152048476598	0.453515124856735	7.14270451607975	6.96593919112669	8.26920008664795e-11	6.41896656726047e-08	14.2354377378978	"no_sig"
"ILMN_1744239"	"FEM1B"	1.08158897209524	0.773107271480025	1.39007067271045	7.41076474977914	6.9249285491306	1.03308081612406e-10	7.59058979692622e-08	14.0235685385327	"up"
"ILMN_2143383"	"TTTY14"	0.33912833542857	0.242387038987352	0.435869631869788	7.09326053982822	6.92364238181573	1.04030691339247e-10	7.59058979692622e-08	14.0169344041603	"no_sig"
"ILMN_1653376"	"FAM171B"	0.255209741285714	0.182353647139123	0.328065835432306	7.11570058426994	6.91852978755311	1.06952754787608e-10	7.59058979692622e-08	13.9905696317776	"no_sig"
"ILMN_1694840"	"MATN2"	0.265805584761904	0.189653827709513	0.341957341814295	7.12303149625767	6.89392613560698	1.22187012225994e-10	8.24999545273722e-08	13.863834470064	"no_sig"
"ILMN_1715013"	"ERMAP"	1.16776287	0.833154354934601	1.50237138506539	7.90424255070552	6.89287061320363	1.22886405696971e-10	8.24999545273722e-08	13.8584026614135	"up"
"ILMN_1790943"	"TBC1D27P"	0.186598550523807	0.132674485640348	0.240522615407266	7.07882788719632	6.8345212147299	1.68358530902002e-10	1.06775251313236e-07	13.5588103670017	"no_sig"
"ILMN_1728224"	"OGFR"	-0.89324789976191	-1.15494000146878	-0.63155579805504	8.73083815541104	-6.74161335516806	2.77158763411062e-10	1.67917650808068e-07	13.0845694024362	"down"
"ILMN_1794156"	"DYRK1A"	0.412536553000001	0.291449226701023	0.533623879298978	7.09545292302454	6.72893291161535	2.96591524129809e-10	1.73303380548316e-07	13.0201128588619	"no_sig"
"ILMN_1704790"	"FADS6"	0.304869810571425	0.215349756573389	0.394389864569461	7.12781150207976	6.72630471863462	3.00784154327877e-10	1.73303380548316e-07	13.0067615570005	"no_sig"
"ILMN_1764500"	"BRK1"	0.748403072333328	0.526796803068017	0.97000934159864	8.45756337687117	6.67015570272526	4.05695784062358e-10	2.19075723393673e-07	12.7221986001023	"up"
"ILMN_1712430"	"ATP5MC1"	0.240351222809521	0.169014607297008	0.311687838322033	7.10919919625767	6.65451315216358	4.4086040601928e-10	2.32999414585509e-07	12.643153700174	"no_sig"
"ILMN_1724718"	"NCK2"	1.23758415909524	0.869788092727013	1.60538022546346	9.39930991306135	6.645843565925	4.61625829189945e-10	2.38891366605796e-07	12.5993883221689	"up"
"ILMN_1731619"	"DAD1"	0.943035307619045	0.661868282049408	1.22420233318868	10.6999232341718	6.62439192741825	5.17239079569093e-10	2.62208545642781e-07	12.4912318922318	"up"
"ILMN_1791623"	"LSP1"	0.274244626380949	0.192336474283217	0.356152778478681	7.07654224580982	6.61292277688824	5.49628656873438e-10	2.73055516734724e-07	12.4334848791605	"no_sig"
"ILMN_1689241"	"RAD17"	0.314967813761903	0.220472367392712	0.409463260131095	7.11007305447853	6.5832105869293	6.43121059481022e-10	2.99416415374239e-07	12.2841417802333	"no_sig"
"ILMN_1723035"	"OLR1"	1.93926627295238	1.35725353781481	2.52127900808995	7.85915353984049	6.58093209254884	6.50905250813563e-10	2.99416415374239e-07	12.2727047184014	"up"
"ILMN_1703305"	"TWF2"	-0.934434390428574	-1.21504202838649	-0.653826752470655	9.82285881600614	-6.57705961217226	6.64348490067101e-10	3.00043936241215e-07	12.2532715771922	"down"
"ILMN_1653220"	"PITPNM1"	-0.787189801714288	-1.02395313794653	-0.550426465482046	9.28916943440491	-6.56670430491487	7.01654435372275e-10	3.11233860261559e-07	12.2013371271147	"down"
"ILMN_1750690"	"ARFIP2"	0.342232454571426	0.239084775899888	0.445380133242964	7.11955381460123	6.55306062968848	7.53971637835221e-10	3.22907853169429e-07	12.1329803059392	"no_sig"
"ILMN_1698100"	"ANXA2P1"	-0.971270629190476	-1.26469723099365	-0.677844027387304	8.10203881351534	-6.53767345605322	8.17591426196897e-10	3.44219847910693e-07	12.0559835971394	"down"
"ILMN_1732577"	"TMEM216"	0.723247936619046	0.504605152029765	0.941890721208327	8.43391436886503	6.53332866226521	8.36493000339258e-10	3.46308102140453e-07	12.0342607909148	"up"
"ILMN_1791884"	"SNHG11"	0.575965926714286	0.401246434255706	0.750685419172866	7.44773624866871	6.5108529259412	9.41354931198408e-10	3.83332073622434e-07	11.9220175628388	"up"
"ILMN_2367707"	"PKN1"	-0.754508926666668	-0.983715324097079	-0.525302529236258	8.07631550242945	-6.50159780014794	9.88204208465938e-10	3.84965834014854e-07	11.8758609659196	"down"
"ILMN_2399300"	"NAV2"	0.264895552571429	0.184416278666813	0.345374826476044	7.15356619080368	6.50089377946085	9.91860441906227e-10	3.84965834014854e-07	11.87235143144	"no_sig"
"ILMN_1780504"	"CBARP"	0.20738722038095	0.144259563084169	0.27051487767773	7.12735350728834	6.48850689831929	1.05841161116352e-09	4.00913219199132e-07	11.810638072025	"no_sig"
"ILMN_1715901"	"FBXL17"	0.271380356285712	0.188757899565437	0.354002813005987	7.14407719277914	6.48728169649652	1.06522836019093e-09	4.00913219199132e-07	11.8045375403654	"no_sig"
"ILMN_1746135"	"PHF23"	0.624647117523805	0.433423252179807	0.815870982867803	8.22454482934969	6.45171389669416	1.28309467677664e-09	4.55315311016166e-07	11.6277228886731	"up"
"ILMN_1713301"	"DGCR2"	-0.818815027000001	-1.07025378034015	-0.567376273659848	8.13041470529448	-6.4318519949032	1.42325825839269e-09	4.97939931527809e-07	11.5292260957173	"down"
"ILMN_1717935"	"SPTA1"	1.00881367642857	0.698842072646894	1.31878528021025	7.52458559518405	6.42793540155853	1.45262450023481e-09	5.01155452581008e-07	11.509823852988	"up"
"ILMN_1807719"	"CTNS"	0.750091620809524	0.519509880311759	0.98067336130729	8.05725560157669	6.42498108755275	1.47516929881604e-09	5.01961717569731e-07	11.4951930746573	"up"
"ILMN_1818088"	"C21orf91-OT1"	0.199029945333332	0.137757405076882	0.260302485589782	7.10409540630061	6.4155661978925	1.54933672300579e-09	5.13140322659517e-07	11.4485929867496	"no_sig"
"ILMN_2233878"	"SERF1B"	0.226729438428569	0.156827104521175	0.296631772335963	7.16655158996933	6.40617338383535	1.62698245696925e-09	5.31766371462054e-07	11.4021411939255	"no_sig"
"ILMN_1775405"	"ARL4A"	1.18857778871428	0.821252560355614	1.55590301707295	7.65085063832515	6.39086002519193	1.76185366849869e-09	5.65163804260854e-07	11.3264934069951	"up"
"ILMN_1694476"	"HMBS"	1.31158099880952	0.906153649978367	1.71700834764068	7.90894763747239	6.38946547030874	1.77466895057756e-09	5.65163804260854e-07	11.319609498376	"up"
"ILMN_1738179"	"FOXP1"	0.298198018666663	0.205750944306626	0.3906450930267	7.22321923671779	6.37080092437722	1.95527176964003e-09	6.09818475595792e-07	11.227559519238	"no_sig"
"ILMN_1686626"	"DDX39B"	-1.01532064238096	-1.33021196841468	-0.700429316347232	10.0564211687975	-6.36832135947096	1.98058569105236e-09	6.09818475595792e-07	11.2153424766466	"down"
"ILMN_1771065"	"BRCA1"	0.366173721571427	0.252594903444808	0.479752539698047	7.1444193219816	6.36754879085881	1.98853850737758e-09	6.09818475595792e-07	11.2115365222303	"no_sig"
"ILMN_1692255"	"WDR45"	0.296187491857141	0.204223077689429	0.388151906024853	7.1100603524908	6.3610580381674	2.05660635740224e-09	6.23001242900873e-07	11.1795712572605	"no_sig"
"ILMN_1748614"	"RELT"	0.297839686904762	0.205226185969132	0.390453187840392	7.08694966732515	6.35171082615257	2.15867221842999e-09	6.46041179587964e-07	11.1335718406503	"no_sig"
"ILMN_1807467"	"ARHGEF28"	0.186092785380954	0.128087415008825	0.244098155753082	7.06528055156442	6.33641750071242	2.33650663870716e-09	6.82809704770422e-07	11.0583951058594	"no_sig"
"ILMN_1795949"	"CORO7"	-0.83673097957143	-1.09772500055257	-0.575736958590288	8.71964038657669	-6.33195388254048	2.39107331824859e-09	6.90630944480175e-07	11.0364733481378	"down"
"ILMN_1705035"	"FBXL7"	0.283064569857142	0.194706203042708	0.371422936671577	7.1290408965092	6.32732709920041	2.44895691217202e-09	6.99219421820148e-07	11.0137597414326	"no_sig"
"ILMN_2111739"	"MAN2C1"	-0.382277761285716	-0.501986849295705	-0.262568673275728	7.42844964829448	-6.3071674956865	2.71766150143067e-09	7.58502378601548e-07	10.9149060871591	"no_sig"
"ILMN_1719256"	"CKS1B"	0.852088133809521	0.584838091912234	1.11933817570681	7.76102111384663	6.29722466783138	2.86065738428219e-09	7.89541438061885e-07	10.8662188034433	"up"
"ILMN_1663142"	"CLEC12A"	2.18014263109523	1.49520979398521	2.86507546820525	9.3580061612638	6.28665130177424	3.02083674674836e-09	8.24588843837683e-07	10.8144933141286	"up"
"ILMN_2402806"	"TRPC4AP"	-0.650248027904766	-0.85533739188779	-0.445158663921742	8.53833302979755	-6.26207634522233	3.42796516789994e-09	8.96322681796152e-07	10.694468571632	"down"
"ILMN_1768055"	"GFER"	0.354744184476188	0.242545115099969	0.466943253852408	7.09371044592025	6.24465546961613	3.74876416655699e-09	9.62715909662851e-07	10.6095523831425	"no_sig"
"ILMN_1757504"	"REG3A"	0.224994500666665	0.15382658150978	0.296162419823551	7.06434552946012	6.24410342466708	3.75939787589761e-09	9.62715909662851e-07	10.6068637833153	"no_sig"
"ILMN_1815908"	"GYPE"	0.370912211714284	0.253488912988328	0.48833551044024	7.19762993741718	6.2387747818971	3.86357600471377e-09	9.79298244460102e-07	10.5809191600811	"no_sig"
"ILMN_1711098"	"PLAGL1"	0.324504262047616	0.22150200502893	0.427506519066302	7.13146449011656	6.22237407893574	4.20234167390168e-09	1.05440572908806e-06	10.5011481383812	"no_sig"
"ILMN_1759801"	"DPP8"	-0.560445376761908	-0.738437891919269	-0.382452861604546	8.26403176125153	-6.21890615977451	4.27762551348314e-09	1.06256217754921e-06	10.484296555188	"down"
"ILMN_2408179"	"PRRC2A"	-0.622325533809526	-0.820126991161927	-0.424524076457126	7.74125817951534	-6.21399051323977	4.38661226898674e-09	1.07884602734288e-06	10.4604196230834	"down"
"ILMN_2270909"	"ICA1"	0.252825986523811	0.172120742007928	0.333531231039694	7.12274395469325	6.18731754630003	5.02727965954782e-09	1.21240414313755e-06	10.3310561704242	"no_sig"
"ILMN_2101832"	"LAPTM4B"	0.800565810523808	0.544286934328743	1.05684468671887	7.56351986399387	6.16973741284354	5.49889746786813e-09	1.31339051059466e-06	10.245974535127	"up"
"ILMN_1695851"	"PARVG"	-0.941984902333333	-1.24403107589828	-0.639938728768387	10.0105106728896	-6.15960774706526	5.79009704570439e-09	1.35774895194708e-06	10.197016384644	"down"
"ILMN_1745697"	"MGRN1"	-0.948035444666668	-1.25216488435698	-0.643906004976356	8.18749734669325	-6.15670813098718	5.87620482310601e-09	1.35899302570907e-06	10.1830110031266	"down"
"ILMN_2350240"	"GTF2I"	0.352519580285712	0.239411539102028	0.465627621469396	7.14183927606135	6.15562586341024	5.90866532916986e-09	1.35899302570907e-06	10.1777845773842	"no_sig"
"ILMN_1847822"	"ECPAS"	-0.568492639380955	-0.751084619925178	-0.385900658836732	7.92628556526994	-6.14929884151905	6.10198542037312e-09	1.39058089763365e-06	10.1472415259384	"down"
"ILMN_1744089"	"C1orf127"	0.277052470619047	0.187999310828475	0.366105630409619	7.10639393986503	6.14462164305255	6.2488748659411e-09	1.41110956063615e-06	10.1246749688619	"no_sig"
"ILMN_1654997"	"P2RX3"	0.234060968428572	0.158771020662363	0.309350916194782	7.08136193445399	6.14008600473424	6.39463200214869e-09	1.43101494534571e-06	10.1028012802138	"no_sig"
"ILMN_1689518"	"PECAM1"	-1.02637336371428	-1.35728740299859	-0.695459324429983	9.24456564196319	-6.12593850113337	6.87105174319111e-09	1.52390111875774e-06	10.0346356990438	"down"
"ILMN_1722695"	"CPLX2"	0.31344136747619	0.212349960290272	0.414532774662108	7.09667230094479	6.12384971381715	6.94428209803388e-09	1.52651298508993e-06	10.0245795301764	"no_sig"
"ILMN_1841133"	"LINC01391"	0.276476315142856	0.18725372721078	0.365698903074931	7.11530521604908	6.1201993620151	7.07410277974722e-09	1.54140976358703e-06	10.0070104047734	"no_sig"
"ILMN_1687362"	"ARHGAP35"	0.250186465999999	0.169120929582835	0.331252002417163	7.08578788139877	6.0955093864452	8.01690811274855e-09	1.73165215235369e-06	9.88834417812814	"no_sig"
"ILMN_1776857"	"AQP1"	0.253595783714283	0.171182952982868	0.336008614445699	7.15874026885276	6.07756552255364	8.77843860198866e-09	1.87979667994309e-06	9.80228417252315	"no_sig"
"ILMN_1813117"	"ITGA9"	0.188304083714284	0.127067931686438	0.24954023574213	7.13218821483436	6.07343375186879	8.96360071036187e-09	1.90304138158452e-06	9.78248978149635	"no_sig"
"ILMN_1872457"	"DYRK3"	0.473132133571428	0.319221354688578	0.627042912454279	7.14505086207975	6.07149807345489	9.05165973458882e-09	1.90545108311175e-06	9.77321919910799	"no_sig"
"ILMN_1718018"	"PFN3"	0.244730699523809	0.164996760289919	0.324464638757699	7.10404229900614	6.06216403058788	9.48834769302844e-09	1.9805929134019e-06	9.72854078102594	"no_sig"
"ILMN_1779886"	"TBC1D14"	-1.21776040404762	-1.61506137863039	-0.820459429464853	9.49648109973006	-6.05375263293903	9.89953492394212e-09	2.03381324841935e-06	9.68831465450908	"down"
"ILMN_1730999"	"TPR"	-0.500740891523812	-0.664114407095926	-0.337367375951697	8.4604661157546	-6.05360188634531	9.90706131476412e-09	2.03381324841935e-06	9.68759404500394	"down"
"ILMN_2302632"	"HFE"	0.306417192761906	0.206414979403879	0.406419406119932	7.09723954112883	6.05181954639105	9.99647569337870e-09	2.03534800183219e-06	9.67907480943139	"no_sig"
"ILMN_1733861"	"ARHGEF11"	-0.407164755380954	-0.540367297236598	-0.27396221352531	7.55520853968712	-6.03726331763568	1.07569697807839e-08	2.16395390639681e-06	9.60955637082513	"no_sig"
"ILMN_1747650"	"BMP6"	0.713728428047616	0.480202291675769	0.947254564419463	7.47994092341718	6.03642701062698	1.08023463926411e-08	2.16395390639681e-06	9.6055654052556	"up"
"ILMN_1683471"	"BDH1"	0.174677553714283	0.117402851986175	0.231952255442392	7.06091972944172	6.0236082250758	1.15218282137662e-08	2.28961770263963e-06	9.54443495440793	"no_sig"
"ILMN_1774127"	"STAC"	0.204223610238093	0.137102701077197	0.271344519398989	7.1109909631227	6.00939251233026	1.23747389839218e-08	2.43930390604219e-06	9.47673623360144	"no_sig"
"ILMN_1742461"	"UAP1"	0.564415000714282	0.378864317913111	0.749965683515453	7.42673734944785	6.00784118138753	1.24714813231625e-08	2.43930390604219e-06	9.46935437319685	"up"
"ILMN_2290089"	"UBN1"	0.225913411	0.151555756112997	0.300271065887002	7.10731189822086	6.00065669738836	1.29292708882472e-08	2.50908663175046e-06	9.43518300908618	"no_sig"
"ILMN_1712715"	"ANAPC11"	0.321146896714283	0.215296825235835	0.426996968192731	7.11045290943558	5.99232040511641	1.34811314285651e-08	2.59590158670974e-06	9.39556495152029	"no_sig"
"ILMN_1701937"	"COL18A1"	0.31889020847619	0.213741369350639	0.42403904760174	7.07835174633129	5.98989424525254	1.36460374641057e-08	2.60744285083373e-06	9.38404106697219	"no_sig"
"ILMN_1900994"	"LINC02470"	0.893258730571425	0.597940743173643	1.18857671796921	7.33342142341104	5.97406333071628	1.47716800543742e-08	2.80098116450882e-06	9.30891754895037	"up"
"ILMN_2058782"	"IFI27"	4.74305023438095	3.1713154059772	6.31478506278471	10.2370588912086	5.96020091887486	1.58317605704318e-08	2.97924948916308e-06	9.24323649831353	"up"
"ILMN_1667432"	"IFRD2"	0.853579157904759	0.570575128876511	1.13658318693301	7.70989291945399	5.95708279770239	1.60802921379851e-08	3.00326659178608e-06	9.22847567827629	"up"
"ILMN_1810891"	"ZNF629"	0.495426018952381	0.330751433116372	0.660100604788391	7.11891901857669	5.94202786465405	1.73350968455537e-08	3.21346123614592e-06	9.15727499200555	"no_sig"
"ILMN_1702385"	"LILRA4"	0.255192325190474	0.170314229333199	0.340070421047749	7.11115877757055	5.93819470692912	1.76696161824588e-08	3.25120937757241e-06	9.13916440468371	"no_sig"
"ILMN_1751627"	"TRAPPC3"	0.570963814095238	0.380895089746119	0.761032538444357	8.84095480978528	5.93308236738545	1.81256332666484e-08	3.31059360546724e-06	9.11502138470929	"up"
"ILMN_2064655"	"EOLA1"	0.363549845619046	0.242326368307634	0.484773322930457	7.97232817146012	5.92324476868543	1.90358263075103e-08	3.44956225372137e-06	9.06859985299159	"no_sig"
"ILMN_1764605"	"FGF6"	0.192588170380954	0.128349341598297	0.256826999163611	7.09915739769939	5.92126428900581	1.92244076686351e-08	3.44956225372137e-06	9.05926021115929	"no_sig"
"ILMN_1759948"	"RNF5P1"	0.676671731952377	0.450932911510663	0.90241055239409	7.9817004232638	5.92044342489853	1.93031060091494e-08	3.44956225372137e-06	9.05538971283731	"up"
"ILMN_1814952"	"FLCN"	0.467105933666666	0.311156857214062	0.62305501011927	7.26297185171779	5.91582106737065	1.97521935008461e-08	3.49361972523303e-06	9.03360086425873	"no_sig"
"ILMN_1759341"	"AC010422.3"	-0.714910121285715	-0.953623956108137	-0.476196286463294	7.92018816077301	-5.91502124283152	1.98309332229411e-08	3.49361972523303e-06	9.02983173537644	"down"
"ILMN_2251279"	"AC231657.3"	0.273404257476189	0.182018163650204	0.364790351302174	7.1922003447362	5.90891321372638	2.04424755943904e-08	3.57599361806096e-06	9.00105850797359	"no_sig"
"ILMN_1697710"	"IL37"	0.783751532904759	0.521405861220095	1.04609720458942	7.6938249611411	5.9004746996062	2.13178462512058e-08	3.70304406209756e-06	8.96133765990869	"up"
"ILMN_1673305"	"RHOC"	1.00768193747619	0.670168749254696	1.34519512569768	8.11978796509816	5.89678344856873	2.17122093017441e-08	3.72816855674126e-06	8.94397380195445	"up"
"ILMN_1758963"	"NADK"	-0.861151422666669	-1.14974326096963	-0.572559584363705	9.19960233772393	-5.89356301480959	2.20621039604274e-08	3.75357987929464e-06	8.92883026711352	"down"
"ILMN_1651692"	"STK10"	-0.687168620857143	-0.91829399154444	-0.456043250169847	8.72588145368098	-5.87216366452112	2.45315355315819e-08	4.1173198824628e-06	8.82833566787294	"down"
"ILMN_1727332"	"ATP5IF1"	0.73201233995238	0.485452312316333	0.978572367588427	8.2009101206319	5.8637869800818	2.55702335020152e-08	4.23773836238042e-06	8.78906021034218	"up"
"ILMN_2072296"	"CKS2"	1.07632780109523	0.713783975744649	1.43887162644582	8.09600656896319	5.86362918569534	2.55902075022972e-08	4.23773836238042e-06	8.78832070494237	"up"
"ILMN_2273882"	"RNF38"	0.263104416047617	0.174432749668855	0.351776082426379	7.06860246248466	5.86037922409462	2.60050113751027e-08	4.27791048051358e-06	8.77309251254009	"no_sig"
"ILMN_1789905"	"PAX6"	0.311883562999997	0.206629597859355	0.417137528140639	7.10140401163804	5.85243331723175	2.70471101320516e-08	4.36514635716713e-06	8.73588321228094	"no_sig"
"ILMN_1803277"	"MVP"	-0.953598339952382	-1.27546831090628	-0.631728368998481	9.77446120802454	-5.85150362184419	2.71716800003454e-08	4.36514635716713e-06	8.7315316958332	"down"
"ILMN_1753755"	"B4GALT2"	0.236895765666664	0.156929095629698	0.316862435703629	7.11984957654601	5.85100863682907	2.72382320998754e-08	4.36514635716713e-06	8.72921505572313	"no_sig"
"ILMN_1686557"	"TIMM13"	0.256042434761902	0.169581431079194	0.34250343844461	7.10611079223926	5.84889908480788	2.75236618912563e-08	4.38261385499235e-06	8.71934327238342	"no_sig"
"ILMN_1671270"	"EMP2"	0.230131285619047	0.152343102060831	0.307919469177263	7.11950518603681	5.84311570047805	2.83212835205814e-08	4.48089606784231e-06	8.69229111131867	"no_sig"
"ILMN_1763640"	"NCKAP5L"	-0.62258179952381	-0.833411497289844	-0.411752101757776	7.9905106041227	-5.83239712052026	2.98598424972262e-08	4.69442080779177e-06	8.6421990846781	"down"
"ILMN_1662651"	"ZKSCAN2"	0.212177299380953	0.140177751826927	0.284176846934978	7.09081462553374	5.82038352386226	3.1681667696488e-08	4.89357250580859e-06	8.58612432593407	"no_sig"
"ILMN_1724293"	"KDELR2"	0.788402262190475	0.520844501382544	1.05596002299841	8.50933815654601	5.81986300331415	3.17630157012284e-08	4.89357250580859e-06	8.58369640042955	"up"
"ILMN_1800197"	"MRPL36P1"	0.646541413809524	0.427063647160431	0.866019180458618	8.42286309434356	5.81819494849247	3.20250830336003e-08	4.89357250580859e-06	8.5759168252342	"up"
"ILMN_2250445"	"SMTN"	0.207696914714284	0.137006290304236	0.278387539124332	7.11144056786503	5.80297473956824	3.45162222846452e-08	5.22794488750357e-06	8.50499746136676	"no_sig"
"ILMN_1765547"	"IRF2"	-0.565850416904766	-0.758908625103861	-0.372792208705671	7.82698828458896	-5.78889699116345	3.69886866967271e-08	5.56847865179818e-06	8.43950690929038	"down"
"ILMN_1719518"	"ARF4"	0.756047975238094	0.497640291710278	1.01445565876591	9.68727567006135	5.77864991207287	3.88965803557994e-08	5.74841785806042e-06	8.39190078740361	"up"
"ILMN_1779813"	"CIAO2B"	0.680062521047615	0.447625376259548	0.912499665835683	8.96718680499387	5.77864162657035	3.88981613360268e-08	5.74841785806042e-06	8.39186231625041	"up"
"ILMN_1787464"	"RABL2A"	0.194400832809523	0.127894426287242	0.260907239331805	7.12226783129448	5.77320648898067	3.99489252102862e-08	5.80310703054684e-06	8.36663355562372	"no_sig"
"ILMN_1675406"	"PLPP5"	0.417057650476188	0.274292561907404	0.559822739044973	7.40605808916564	5.7697437555984	4.06328039648792e-08	5.86813285167209e-06	8.35056820892754	"no_sig"
"ILMN_2271627"	"ATXN2L"	-0.247547331333334	-0.332312514440481	-0.162782148226187	7.31178914407362	-5.76797270998993	4.09869955450871e-08	5.8850691869362e-06	8.34235383295261	"no_sig"
"ILMN_1684690"	"HDAC11"	0.226475375285713	0.148875954826324	0.304074795745102	7.12977718873006	5.76427859708064	4.17355342460594e-08	5.95810730271331e-06	8.32522518541734	"no_sig"
"ILMN_1669928"	"ARHGEF16"	0.19495405490476	0.128117629005342	0.261790480804177	7.05014454368098	5.76104818256217	4.24010672768877e-08	5.99577926151147e-06	8.31025235716376	"no_sig"
"ILMN_1742450"	"TAPBP"	-1.34197684657143	-1.80208019066628	-0.881873502476579	10.2337063043006	-5.76065790791142	4.24821719012085e-08	5.99577926151147e-06	8.30844381610448	"down"
"ILMN_1776077"	"SF1"	0.88057363595238	0.578211564123773	1.18293570778099	7.81450804322086	5.75202571328181	4.43153853717691e-08	6.21917611658047e-06	8.26846215961038	"up"
