""	"symbol"	"logFC"	"CI.L"	"CI.R"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"de"
"TC0800001915.mm.1"	"Letm2"	0.277997323841854	0.0531584094763209	0.502836238207387	2.7564162067579	2.95924790706456	0.0225876116660636	0.0406759071869646	-4.08895119696015	"no_sig"
"TC1500001760.mm.1"	"Scrib"	0.265277010735373	0.0507063598633938	0.479847661607353	4.09295795846502	2.95897645937566	0.0225960317226546	0.0406868945445208	-4.08934461363784	"no_sig"
"TC0400000078.mm.1"	"2610301B20Rik"	0.348226163030834	0.0665233204134031	0.629929005648265	2.5691890764078	2.95857362797272	0.0226085333550246	0.0407041707888573	-4.08992845850536	"no_sig"
"TC1100000231.mm.1"	"Zrsr1"	-0.570463711944707	-1.03195592740291	-0.108971496486506	2.37283871311118	-2.95852918239705	0.0226099131490135	0.0407053106144426	-4.08999287657048	"down"
"TC0200002972.mm.1"	"Itga8"	0.247223864841931	0.0472090060750498	0.447238723608812	2.14311373370481	2.95828727333048	0.0226174246888361	0.0407140628468803	-4.09034349479082	"no_sig"
"TC1500002008.mm.1"	"Pkdrej"	0.469400025857834	0.0896317389392217	0.849168312776446	2.40520406594229	2.95826194787495	0.0226182112257715	0.0407140628468803	-4.09038020125752	"no_sig"
"TC0600001369.mm.1"	"Usp18"	0.312369930623682	0.0596060012802317	0.565133859967132	2.85669630145996	2.9577831917996	0.0226330855264322	0.0407322315007074	-4.09107411459479	"no_sig"
"TC1500002280.mm.1"	"Krt78"	0.259553779031571	0.0495098446580706	0.469597713405071	3.23227617183034	2.9575318174452	0.0226408995648328	0.0407432327327109	-4.09143846565854	"no_sig"
"TC0700003111.mm.1"	"Gabra5"	0.286524757627918	0.0546395983938345	0.518409916862001	2.80379903521594	2.95734105896297	0.0226468312639756	0.0407488978949852	-4.0917149610241	"no_sig"
"TC0200002095.mm.1"	"Ndufaf5"	0.407555772886583	0.0776995959055454	0.737411949867621	1.83692197073785	2.95715876371323	0.0226525013456472	0.040756409728262	-4.09197919186284	"no_sig"
"TC0200003560.mm.1"	"Nr4a2"	-0.417808367518554	-0.756049150167871	-0.0795675848692365	4.02371927783289	-2.9564012448403	0.0226760793202151	0.0407920996588637	-4.09307721644924	"no_sig"
"TC0300000668.mm.1"	"Gatb"	0.328780267978086	0.0625671321633788	0.594993403792792	2.16457828970408	2.95589142435875	0.0226919623586786	0.0408166310100308	-4.09381622586702	"no_sig"
"TC0800001182.mm.1"	"Cmtm3"	-0.31148009515844	-0.563734406116041	-0.0592257842008388	4.39638560319639	-2.95531593391951	0.0227099055543909	0.0408408204859982	-4.09465045020598	"no_sig"
"TC1500000969.mm.1"	"Pfkm"	-0.601443990411334	-1.08886542875955	-0.114022552063122	4.5982636158889	-2.95326743436868	0.0227738985965121	0.0409369970023498	-4.09762013045558	"down"
"TC0200005104.mm.1"	"Kcns1"	0.504747223189135	0.0956472045385953	0.913847241839675	3.65177045081558	2.95295380245613	0.0227837131088079	0.0409519382905323	-4.0980748254645	"up"
"TC0700003959.mm.1"	"Olfr668"	0.465967881907881	0.0882193580726952	0.843716405743068	2.01910805403349	2.95233354104124	0.0228031362953367	0.0409827961230379	-4.09897408492312	"no_sig"
"TC1200002364.mm.1"	"Begain"	0.305449433117263	0.0578065900234318	0.553092276211094	3.8111638439668	2.9520639120627	0.0228115851044403	0.0409912236009973	-4.09936500378932	"no_sig"
"TC1600000981.mm.1"	"Sod1"	-0.608752872952867	-1.10237206845838	-0.115133677447356	4.36471280233317	-2.9516251184025	0.022825341819953	0.0409995523630049	-4.10000119580608	"down"
"TC1400000336.mm.1"	"Galnt15"	0.343120807393038	0.064861883145903	0.621379731640173	3.10980634807983	2.9512783160318	0.0228362207581595	0.0410152127836817	-4.10050402279479	"no_sig"
"TC0200003210.mm.1"	"Mymk"	0.422678531597179	0.0798781483457551	0.765478914848602	2.75601375682866	2.95108082876224	0.0228424182618789	0.0410249922290406	-4.10079036252923	"no_sig"
"TC0500000541.mm.1"	"Rbpj"	-0.280162620214388	-0.507388706865503	-0.0529365335632721	3.57126465160926	-2.9509660634138	0.0228460206280621	0.0410301103155491	-4.10095676383395	"no_sig"
"TC1600002061.mm.1"	"Paxbp1"	-0.345777013494532	-0.626347268439987	-0.0652067585490776	2.85697344405348	-2.94962432219341	0.0228881814934269	0.0410895845989816	-4.10290226150632	"no_sig"
"TC0X00002176.mm.1"	"Olfr1321"	0.537571101576697	0.101355752919763	0.973786450233631	1.52378345547918	2.94949174588411	0.0228923518760047	0.0410957180547477	-4.10309450164134	"up"
"TC0800002440.mm.1"	"B3gnt3"	0.278529631524886	0.0524895168540625	0.504569746195709	4.42814298138026	2.94915840016783	0.0229028413368475	0.0411104870805698	-4.10357786989678	"no_sig"
