"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene"
"108" 3.25951367190397e-133 2.12672989151872 0.71 0.359 5.82768449399711e-129 "10" "Hjurp"
"109" 1.3506165046973e-124 1.41446679513208 0.99 0.706 2.41476724874831e-120 "10" "Tac1"
"110" 1.23103917705e-98 1.67357576967315 0.994 0.83 2.20097494464769e-94 "10" "Lxn"
"111" 1.4016111078809e-215 2.32702503717999 0.961 0.422 2.50594049978027e-211 "11" "Apoe"
"112" 8.94213072161145e-210 1.54155995727457 0.818 0.218 1.59876355171691e-205 "11" "Rgcc"
"113" 6.44096911972085e-197 1.37952750988656 0.879 0.255 1.15158086891489e-192 "11" "Marcksl1"
"114" 7.57479348633026e-197 1.58201122130754 0.99 0.333 1.35429732742099e-192 "11" "Adcyap1"
"115" 1.39186275014273e-179 1.82232435597072 0.937 0.333 2.48851141098018e-175 "11" "Fabp7"
"116" 6.37995045698117e-176 1.45928066687481 0.906 0.312 1.14067134220366e-171 "11" "Plp1"
"117" 1.49489489325596e-172 1.35212263192508 0.896 0.305 2.67272257965233e-168 "11" "Gpm6b"
"118" 3.33218869350882e-172 1.34622796008385 0.852 0.28 5.95762016512441e-168 "11" "Sparc"
"119" 9.2203962428819e-144 1.44757025570411 0.998 0.672 1.64851464426486e-139 "11" "6330403K07Rik"
"120" 1.48466418691443e-136 1.63928939450844 1 0.885 2.6544310997843e-132 "11" "Dbi"
"121" 7.27463298256254e-229 2.35570681873 0.802 0.142 1.30063163095236e-224 "12" "Mlc1"
"122" 5.09046183651719e-202 1.72611265136661 0.708 0.107 9.10123671750909e-198 "12" "Mustn1"
"123" 7.69848286210283e-176 2.45758333241215 0.885 0.208 1.37641175091537e-171 "12" "Rgs5"
"124" 2.59485753610137e-132 1.90185044976865 0.844 0.285 4.63934578879565e-128 "12" "Gfra1"
"125" 5.17060831956839e-125 2.42915439888046 0.856 0.361 9.24453061455632e-121 "12" "Gm2694"
"126" 1.12145891079e-116 2.3489994731461 0.885 0.406 2.00505638660144e-112 "12" "Smyd3"
"127" 2.21780772332813e-112 1.75999067374154 0.827 0.301 3.96521842853836e-108 "12" "Krt27"
"128" 1.39330655668324e-109 1.82939908406345 0.819 0.324 2.49109279269397e-105 "12" "Gm2115"
"129" 1.68623350569514e-85 1.78889719460255 0.807 0.347 3.01481688483235e-81 "12" "Scn2b"
"130" 8.02297863464104e-49 1.8282407843836 0.938 0.676 1.43442835008747e-44 "12" "Bhlhe41"
"131" 0 4.46621718940576 1 0.173 0 "13" "Pvalb"
"132" 0 2.85935483520361 0.957 0.076 0 "13" "Cbln2"
"133" 0 2.82601223799943 0.915 0.053 0 "13" "Rasgrp2"
"134" 0 2.33080804543066 0.94 0.069 0 "13" "Slc17a7"
"135" 3.93313381594315e-208 3.6737224216104 0.996 0.323 7.03204994952477e-204 "13" "Clec2l"
"136" 1.09318246179513e-201 2.32312921993961 0.974 0.267 1.95450092344352e-197 "13" "Nsg1"
"137" 3.77037837525468e-191 2.29532786845098 0.979 0.314 6.74105949711785e-187 "13" "Tmem47"
"138" 1.22101075693371e-161 2.49068792364262 0.991 0.448 2.18304513232177e-157 "13" "Atp11a"
"139" 1.3675592379542e-156 2.58809807613081 1 0.61 2.44505916153832e-152 "13" "Cntnap2"
"140" 1.62124318420843e-155 2.45784603125733 0.991 0.562 2.89862068904624e-151 "13" "Serpini1"
"141" 0 2.22900516938355 0.956 0.082 0 "14" "Cbln2"
"142" 4.29017526565763e-280 3.38021893105849 1 0.13 7.67040435746928e-276 "14" "Cadps2"
"143" 7.91074420398076e-192 3.71062660778842 1 0.215 1.41436195622972e-187 "14" "Ntrk2"
"144" 3.04641809148715e-129 2.30181021180655 0.95 0.213 5.44669090576987e-125 "14" "Rgs5"
"145" 5.82762872939137e-127 2.24371441622709 0.988 0.328 1.04192174052788e-122 "14" "Gabra1"
"146" 9.00835259859907e-122 2.47010726760271 1 0.305 1.61060336110353e-117 "14" "Thy1"
"147" 7.0860286604385e-92 2.32390043942153 1 0.989 1.2669110641998e-87 "14" "Cox5a"
"148" 1.90689961665724e-91 2.42883803763895 1 0.577 3.40934582462148e-87 "14" "S100b"
"149" 3.04879733660502e-91 2.47562060361504 1 0.732 5.45094475811612e-87 "14" "Chchd10"
"150" 3.44260186698787e-91 2.36039311979138 1 0.72 6.15502787798761e-87 "14" "Lgals1"
"151" 0 2.65841347384415 0.863 0.031 0 "15" "Dcn"
"152" 4.63910718069077e-165 1.97779429156085 0.83 0.126 8.29425972835702e-161 "15" "Igfbp5"
"153" 1.04070369425994e-125 2.26576896673958 0.876 0.212 1.86067413496735e-121 "15" "Csrp2"
"154" 2.60925987537422e-120 1.85989554813219 0.908 0.214 4.66509573118157e-116 "15" "Kcnk3"
"155" 1.01536772461887e-118 1.76539056017403 0.895 0.217 1.81537595484609e-114 "15" "Ntrk2"
"156" 7.85006310089043e-96 1.81165502711479 0.941 0.304 1.4035127818082e-91 "15" "Kcnk2"
"157" 1.02724785350885e-87 2.19028321037918 0.961 0.322 1.83661643728848e-83 "15" "Gpx3"
"158" 7.42723238266564e-81 1.86546219309254 0.961 0.292 1.32791487769679e-76 "15" "Gal"
"159" 5.62970269512909e-77 2.05786861301863 1 0.679 1.00653454486213e-72 "15" "6330403K07Rik"
"160" 1.49597121544415e-56 1.67068632101375 0.993 0.706 2.67464693609259e-52 "15" "Pcp4"
